neighbourhood,price,availability_365,minimum_nights,long_term_stays,short_term_stays,reviews_per_month,number_of_reviews_ltm,number_of_reviews_ltm,distance_from_airport,population,house_value,neighbourhood_count,passengers,visitors,airport_code
,mean,mean,mean,mean,mean,mean,mean,sum,mean,mean,first,count,mean,mean,first
Jamaica Estates,121.67,248.05,28.65,0.95,0.05,0.54,1.8,36,5.92,0.0,1316455.15,20,15871162,8478000,LGA
Jamaica Hills,272.38,255.1,23.05,0.75,0.25,0.7,1.75,35,5.94,0.0,893427.85,20,15871162,8478000,LGA
Kensington,153.4,127.35,45.15,0.96,0.04,0.51,0.89,100,10.79,0.0,1414578.6,112,15871162,8478000,LGA
Kew Gardens,96.61,168.4,44.46,0.91,0.09,0.81,3.14,220,5.27,23583.0,893161.9,70,15871162,8478000,LGA
Kew Gardens Hills,188.89,167.84,28.96,0.96,0.04,0.75,1.36,68,4.58,36765.5,911353.99,50,15871162,8478000,LGA
Kingsbridge,96.47,113.42,31.53,1.0,0.0,0.43,0.62,41,7.02,0.0,657337.87,66,15871162,8478000,LGA
Kips Bay,236.93,178.19,29.91,0.93,0.07,0.53,2.88,1163,6.02,0.0,0.0,404,15871162,8478000,LGA
Laurelton,132.82,241.2,24.98,0.82,0.18,1.13,4.94,494,9.76,25414.0,705900.19,100,15871162,8478000,LGA
Lighthouse Hill,185.0,221.5,30.0,1.0,0.0,0.47,0.0,0,19.67,0.0,1220797.71,2,15871162,8478000,LGA
Little Italy,210.19,196.59,23.71,0.79,0.21,0.65,3.23,359,7.57,0.0,0.0,111,15871162,8478000,LGA
Little Neck,109.8,131.2,1.8,0.0,1.0,2.4,21.8,109,7.39,0.0,0.0,5,15871162,8478000,LGA
Long Island City,172.73,156.6,32.98,0.85,0.15,0.93,5.47,2187,3.84,0.0,0.0,400,15871162,8478000,LGA
Longwood,421.8,152.57,35.94,0.89,0.11,0.82,3.3,356,3.34,24639.0,578397.81,108,15871162,8478000,LGA
Lower East Side,271.45,137.45,26.36,0.86,0.14,1.01,5.63,7002,7.22,72607.5,1247722.2,1244,15871162,8478000,LGA
Manhattan Beach,91.4,146.14,26.0,0.86,0.14,1.14,7.0,49,14.17,0.0,1702781.58,7,15871162,8478000,LGA
Marble Hill,100.8,87.0,26.5,0.88,0.12,0.83,2.75,22,7.09,0.0,873325.42,8,15871162,8478000,LGA
Mariners Harbor,85.39,232.42,26.73,0.88,0.12,0.83,2.08,54,17.99,0.0,0.0,26,15871162,8478000,LGA
Maspeth,103.76,203.33,127.22,0.84,0.16,1.06,4.02,716,3.61,29716.0,857971.39,178,15871162,8478000,LGA
Melrose,105.47,184.75,20.4,0.65,0.35,1.29,11.0,220,3.75,0.0,625707.43,20,15871162,8478000,LGA
Middle Village,181.44,238.89,21.16,0.68,0.32,1.06,9.42,358,4.21,37779.0,888813.32,38,15871162,8478000,LGA
Midland Beach,125.11,285.22,24.22,0.78,0.22,1.09,6.44,58,18.1,0.0,668202.46,9,15871162,8478000,LGA
Midtown,396.07,201.83,20.65,0.6,0.4,1.09,5.32,10904,5.7,0.0,1108967.12,2050,15871162,8478000,LGA
Midwood,120.42,164.85,28.24,0.91,0.09,0.79,2.59,476,11.79,54137.5,1406887.01,184,15871162,8478000,LGA
Mill Basin,197.71,325.43,19.93,0.64,0.36,1.32,2.21,31,11.74,0.0,1169709.44,14,15871162,8478000,LGA
Morningside Heights,113.08,83.21,36.85,0.99,0.01,0.33,0.43,172,5.07,55068.5,1126465.86,396,15871162,8478000,LGA
Morris Heights,97.36,169.72,26.83,0.89,0.11,0.77,3.11,56,5.51,0.0,608553.55,18,15871162,8478000,LGA
Morris Park,107.44,197.53,35.71,0.92,0.08,0.67,3.97,151,5.22,0.0,739792.28,38,15871162,8478000,LGA
Morrisania,86.5,228.07,26.0,0.86,0.14,1.43,5.0,70,3.97,0.0,0.0,14,15871162,8478000,LGA
Mott Haven,129.28,173.36,22.11,0.72,0.28,1.15,6.46,394,3.38,0.0,806434.98,61,15871162,8478000,LGA
Mount Eden,95.4,343.2,30.0,1.0,0.0,1.04,0.0,0,5.01,0.0,0.0,5,15871162,8478000,LGA
Mount Hope,94.75,251.5,24.47,0.8,0.2,0.9,8.63,518,5.19,52228.0,0.0,60,15871162,8478000,LGA
Murray Hill,292.78,222.59,25.52,0.8,0.2,0.6,2.89,2624,5.75,52374.0,1723491.7,908,15871162,8478000,LGA
Navy Yard,621.0,207.5,30.0,1.0,0.0,0.2,1.0,4,7.59,0.0,0.0,4,15871162,8478000,LGA
Neponsit,317.5,223.5,30.0,1.0,0.0,0.36,0.0,0,14.33,0.0,1337664.98,2,15871162,8478000,LGA
New Brighton,222.8,221.7,27.1,0.9,0.1,2.11,4.8,48,14.77,0.0,644584.5,10,15871162,8478000,LGA
New Dorp,,0.0,30.0,1.0,0.0,,0.0,0,19.28,0.0,799081.64,1,15871162,8478000,LGA
New Dorp Beach,77.0,237.75,22.75,0.75,0.25,2.34,12.25,49,18.87,0.0,636271.36,4,15871162,8478000,LGA
New Springville,121.5,85.0,23.25,0.75,0.25,0.7,3.75,15,19.68,0.0,681647.92,4,15871162,8478000,LGA
NoHo,565.83,138.15,35.55,0.97,0.03,0.52,1.94,64,7.15,0.0,0.0,33,15871162,8478000,LGA
Nolita,299.88,137.05,30.43,0.98,0.02,0.44,1.18,235,7.39,0.0,0.0,200,15871162,8478000,LGA
North Riverdale,124.67,180.0,40.0,1.0,0.0,0.42,0.56,5,9.06,0.0,0.0,9,15871162,8478000,LGA
Norwood,96.52,227.91,34.55,1.0,0.0,0.44,0.48,32,6.85,40655.5,589383.11,66,15871162,8478000,LGA
Oakwood,175.0,182.5,30.0,1.0,0.0,0.02,0.0,0,19.76,0.0,767142.46,2,15871162,8478000,LGA
Olinville,115.67,173.6,30.0,1.0,0.0,0.82,0.6,3,7.26,0.0,0.0,5,15871162,8478000,LGA
Ozone Park,104.23,221.49,26.04,0.86,0.14,1.15,6.04,942,6.88,21214.0,734295.2,156,15871162,8478000,LGA
Park Slope,239.29,131.5,31.19,0.91,0.09,0.86,4.21,1288,8.99,0.0,3009625.0,306,15871162,8478000,LGA
Parkchester,108.87,191.58,28.83,0.96,0.04,0.63,1.12,54,4.16,29587.0,536284.9,48,15871162,8478000,LGA
Pelham Bay,136.33,199.18,32.73,1.0,0.0,0.74,1.0,11,5.46,0.0,694448.41,11,15871162,8478000,LGA
Pelham Gardens,107.11,214.36,25.88,0.85,0.15,1.24,2.64,87,6.23,0.0,727322.23,33,15871162,8478000,LGA
Port Morris,138.43,295.18,12.0,0.38,0.62,0.66,4.44,200,3.61,0.0,0.0,45,15871162,8478000,LGA
Port Richmond,91.09,297.25,18.25,0.58,0.42,0.58,0.83,20,17.03,19116.5,600353.55,24,15871162,8478000,LGA
Prince's Bay,303.17,199.0,30.14,1.0,0.0,0.29,0.43,3,24.71,0.0,899940.55,7,15871162,8478000,LGA
Prospect Heights,283.18,99.43,30.13,0.93,0.07,0.6,2.96,1166,8.44,19752.0,2633472.95,394,15871162,8478000,LGA
Prospect-Lefferts Gardens,149.82,150.06,29.87,0.92,0.08,0.69,2.74,996,9.14,0.0,0.0,363,15871162,8478000,LGA
Queens Village,151.65,208.8,26.38,0.87,0.13,1.22,4.59,780,8.27,55104.0,748290.26,170,15871162,8478000,LGA
Randall Manor,161.21,215.05,25.75,0.85,0.15,0.99,8.05,161,15.83,0.0,0.0,20,15871162,8478000,LGA
Red Hook,208.22,138.54,34.17,0.85,0.15,0.86,4.41,181,9.94,0.0,2130796.73,41,15871162,8478000,LGA
Rego Park,109.28,108.62,28.49,0.93,0.07,0.91,4.16,608,3.53,28832.0,851368.18,146,15871162,8478000,LGA
Richmond Hill,108.92,191.26,23.74,0.78,0.22,1.35,7.97,1514,6.18,62983.5,760979.02,190,15871162,8478000,LGA
Ridgewood,119.45,209.74,30.02,0.94,0.06,0.68,1.63,1126,5.3,69386.0,993933.79,690,15871162,8478000,LGA
Riverdale,715.67,95.86,25.86,0.86,0.14,2.1,3.14,22,7.94,0.0,1192478.21,7,15871162,8478000,LGA
Rockaway Beach,140.06,177.33,28.56,0.91,0.09,0.9,2.15,118,13.46,0.0,621220.19,55,15871162,8478000,LGA
Roosevelt Island,224.42,134.7,32.25,0.85,0.15,0.91,3.7,148,4.16,0.0,0.0,40,15871162,8478000,LGA
Rosebank,80.5,166.29,22.0,0.71,0.29,1.03,0.57,4,15.23,0.0,643373.46,7,15871162,8478000,LGA
Rosedale,198.2,229.91,24.25,0.77,0.23,1.21,6.64,1354,10.9,25282.5,724043.26,204,15871162,8478000,LGA
Rossville,81.33,210.0,30.0,1.0,0.0,,0.0,0,23.12,0.0,708700.97,3,15871162,8478000,LGA
Schuylerville,94.47,269.67,35.0,1.0,0.0,1.5,0.33,6,4.71,0.0,0.0,18,15871162,8478000,LGA
Sea Gate,241.94,177.17,24.0,0.78,0.22,0.66,9.39,169,15.51,0.0,0.0,18,15871162,8478000,LGA
Sheepshead Bay,151.94,171.05,28.12,0.87,0.13,0.99,4.56,602,13.22,0.0,1036064.2,132,15871162,8478000,LGA
Shore Acres,94.0,134.5,27.2,0.9,0.1,0.53,1.8,18,15.53,0.0,699150.0,10,15871162,8478000,LGA
Silver Lake,118.0,199.25,37.5,1.0,0.0,1.36,0.0,0,16.01,0.0,882407.44,4,15871162,8478000,LGA
SoHo,806.09,143.84,23.25,0.71,0.29,1.11,4.79,1313,7.67,0.0,4199757.87,274,15871162,8478000,LGA
Soundview,111.45,242.57,30.0,1.0,0.0,0.45,0.43,6,3.34,0.0,606107.02,14,15871162,8478000,LGA
South Beach,91.56,299.33,26.78,0.89,0.11,1.41,5.44,49,17.16,0.0,693173.24,9,15871162,8478000,LGA
South Ozone Park,161.35,254.62,21.43,0.62,0.38,2.25,19.01,2586,8.18,77392.0,725166.46,136,15871162,8478000,LGA
South Slope,186.9,98.93,30.85,0.94,0.06,0.65,2.19,377,9.7,0.0,0.0,172,15871162,8478000,LGA
Springfield Gardens,157.57,248.34,21.88,0.7,0.3,1.64,10.26,1313,9.55,0.0,713186.57,128,15871162,8478000,LGA
Spuyten Duyvil,175.8,196.57,63.86,1.0,0.0,0.4,0.0,0,7.54,0.0,0.0,7,15871162,8478000,LGA
St. Albans,115.49,217.68,24.96,0.82,0.18,1.33,6.19,1720,8.09,49319.5,697791.22,278,15871162,8478000,LGA
St. George,119.88,214.83,27.63,0.91,0.09,1.25,2.91,102,14.36,0.0,645333.91,35,15871162,8478000,LGA
Stapleton,124.79,254.13,22.6,0.73,0.27,1.47,6.07,91,14.85,0.0,525273.24,15,15871162,8478000,LGA
Stuyvesant Town,223.43,109.85,32.2,1.0,0.0,0.2,0.37,22,6.27,0.0,0.0,60,15871162,8478000,LGA
Sunnyside,116.03,130.9,31.23,0.93,0.07,0.64,2.57,1370,3.47,0.0,984129.56,534,15871162,8478000,LGA
Sunset Park,127.51,143.41,28.16,0.83,0.17,1.15,7.66,2075,10.94,0.0,1180982.28,271,15871162,8478000,LGA
Theater District,372.29,220.61,15.48,0.48,0.52,2.54,11.45,4454,5.95,0.0,0.0,389,15871162,8478000,LGA
Throgs Neck,119.74,258.68,29.18,0.97,0.03,0.63,0.59,20,4.3,0.0,0.0,34,15871162,8478000,LGA
Todt Hill,346.2,214.2,24.4,0.8,0.2,0.53,4.0,20,17.53,0.0,1310413.02,5,15871162,8478000,LGA
Tompkinsville,120.68,215.8,25.73,0.84,0.16,1.07,2.36,106,14.92,0.0,654764.45,45,15871162,8478000,LGA
Tottenville,130.4,286.2,18.6,0.6,0.4,1.68,1.4,7,26.82,0.0,848538.2,5,15871162,8478000,LGA
Tremont,120.3,206.69,31.62,0.94,0.06,0.42,0.12,2,4.75,0.0,517169.78,16,15871162,8478000,LGA
Tribeca,586.76,175.72,26.21,0.78,0.22,0.79,3.04,510,8.14,0.0,4814409.79,168,15871162,8478000,LGA
Two Bridges,135.14,69.28,32.92,0.97,0.03,0.53,1.67,65,7.79,0.0,0.0,39,15871162,8478000,LGA
Unionport,155.31,312.15,25.77,0.85,0.15,0.81,3.62,47,3.81,0.0,0.0,13,15871162,8478000,LGA
University Heights,131.4,132.0,30.0,1.0,0.0,0.58,1.0,8,5.94,0.0,555424.34,8,15871162,8478000,LGA
Upper East Side,308.2,197.56,31.04,0.95,0.05,0.36,1.49,2253,4.29,0.0,4636830.46,1509,15871162,8478000,LGA
Upper West Side,263.95,159.16,30.48,0.9,0.1,0.52,1.8,5508,5.32,134666.0,2954627.08,3066,15871162,8478000,LGA
Van Nest,161.4,285.82,22.27,0.73,0.27,1.45,6.18,68,4.77,0.0,694027.86,11,15871162,8478000,LGA
Vinegar Hill,351.78,144.97,39.24,0.97,0.03,0.61,1.14,42,7.72,0.0,0.0,37,15871162,8478000,LGA
Wakefield,99.32,214.82,27.08,0.89,0.11,0.8,2.12,161,8.23,0.0,608009.58,76,15871162,8478000,LGA
Washington Heights,113.96,124.54,35.45,0.94,0.06,0.61,2.6,1438,5.77,0.0,751776.72,554,15871162,8478000,LGA
West Brighton,84.23,265.46,28.92,0.96,0.04,0.56,1.54,74,16.05,17560.0,681843.89,48,15871162,8478000,LGA
West Farms,150.25,235.5,30.25,1.0,0.0,0.38,0.25,1,4.47,0.0,0.0,4,15871162,8478000,LGA
West Village,361.49,127.16,33.13,0.95,0.05,0.35,1.11,1072,7.44,67681.5,6631494.04,964,15871162,8478000,LGA
Westchester Square,113.75,249.75,30.12,1.0,0.0,0.82,1.25,10,4.7,0.0,0.0,8,15871162,8478000,LGA
Westerleigh,135.0,340.75,97.75,0.75,0.25,0.64,1.75,14,17.59,23946.0,719119.63,8,15871162,8478000,LGA
Whitestone,103.29,188.18,21.47,0.71,0.29,1.67,10.82,368,3.07,31064.5,1151566.98,34,15871162,8478000,LGA
Williamsbridge,91.05,197.4,27.28,0.9,0.1,0.7,1.86,93,7.04,0.0,625602.63,50,15871162,8478000,LGA
Williamsburg,205.96,90.44,30.6,0.93,0.07,0.48,1.81,7790,6.05,32597.5,1650060.95,4304,15871162,8478000,LGA
Willowbrook,210.0,310.0,30.0,1.0,0.0,0.38,0.0,0,18.32,0.0,722639.16,2,15871162,8478000,LGA
Windsor Terrace,176.42,138.53,39.06,0.9,0.1,0.79,4.44,764,10.0,20883.5,1999107.0,172,15871162,8478000,LGA
Woodhaven,86.14,187.91,101.09,0.88,0.12,1.15,5.97,1062,5.94,55411.5,723333.38,178,15871162,8478000,LGA
Woodlawn,141.5,249.12,19.75,0.62,0.38,0.62,3.75,30,8.51,0.0,676567.88,8,15871162,8478000,LGA
Woodrow,58.5,365.0,30.0,1.0,0.0,0.08,0.0,0,23.01,0.0,872848.33,2,15871162,8478000,LGA
Woodside,86.62,87.84,29.68,0.94,0.06,0.6,2.2,1358,2.6,44472.5,910565.41,616,15871162,8478000,LGA
