neighbourhood,price,availability_365,minimum_nights,long_term_stays,short_term_stays,reviews_per_month,number_of_reviews_ltm,number_of_reviews_ltm,distance_from_airport,population,house_value,neighbourhood_count,passengers,visitors,airport_code
,mean,mean,mean,mean,mean,mean,mean,sum,mean,mean,first,count,mean,mean,first
West Carson,127.08,164.98,7.09,0.15,0.85,1.69,11.89,109782,10.48,133.74,0.0,9234,26193165,4637000,LAX
West Compton,126.5,162.46,29.31,0.08,0.92,1.43,11.54,150,8.9,0.0,0.0,13,26193165,4637000,LAX
West Covina,190.89,172.48,10.72,0.23,0.77,1.44,9.48,2294,29.92,0.0,0.0,242,26193165,4637000,LAX
West Hills,248.14,232.65,24.69,0.73,0.27,0.88,4.14,291772,22.19,96.94,1091397.6,70525,26193165,4637000,LAX
West Hollywood,329.01,210.13,19.07,0.41,0.59,1.62,8.25,9834,10.56,0.0,0.0,1192,26193165,4637000,LAX
West Los Angeles,183.54,213.81,28.25,0.85,0.15,0.6,3.67,160380,7.42,139.3,2053466.14,43740,26193165,4637000,LAX
West Puente Valley,119.27,140.64,5.71,0.14,0.86,2.54,18.43,15480,26.01,151.97,0.0,840,26193165,4637000,LAX
West Whittier-Los Nietos,115.06,139.88,7.85,0.12,0.88,1.6,11.5,299,19.67,0.0,0.0,26,26193165,4637000,LAX
Westchester,193.38,203.73,26.1,0.76,0.24,1.05,4.54,769419,1.88,89.52,1558285.29,169533,26193165,4637000,LAX
Westlake,145.99,224.31,26.77,0.84,0.16,0.66,2.26,195932,11.32,386.49,866764.06,86870,26193165,4637000,LAX
Westlake Village,386.55,205.67,10.17,0.25,0.75,1.01,6.17,74,27.1,0.0,0.0,12,26193165,4637000,LAX
Westmont,181.8,179.2,4.85,0.1,0.9,2.56,17.02,1515,5.92,0.0,0.0,89,26193165,4637000,LAX
Westwood,237.08,193.1,31.07,0.91,0.09,0.52,2.32,265013,8.37,198.04,2974039.21,114155,26193165,4637000,LAX
Whittier,181.54,181.7,4.59,0.06,0.94,1.91,15.24,95382,21.82,85.55,0.0,6258,26193165,4637000,LAX
Willowbrook,150.35,223.25,3.41,0.09,0.91,1.98,13.52,196350,8.85,108.35,0.0,14520,26193165,4637000,LAX
Wilmington,123.75,192.94,25.0,0.82,0.18,1.5,7.88,77318,13.96,89.24,700939.38,9809,26193165,4637000,LAX
Windsor Square,153.3,164.62,25.0,0.81,0.19,1.36,7.04,183,10.22,0.0,0.0,26,26193165,4637000,LAX
Winnetka,173.46,212.35,24.75,0.79,0.21,1.04,5.83,218295,20.65,166.44,876532.31,37422,26193165,4637000,LAX
Woodland Hills,390.68,226.56,26.53,0.79,0.21,0.79,3.87,1320501,19.28,111.89,1379860.4,340795,26193165,4637000,LAX
Allerton,118.71,212.88,28.67,0.95,0.05,1.12,3.26,137,6.12,0.0,0.0,42,15871162,8478000,LGA
Arden Heights,78.0,211.0,45.0,1.0,0.0,0.73,2.0,16,22.19,25117.0,554734.99,8,15871162,8478000,LGA
Arrochar,151.4,185.5,25.33,0.83,0.17,1.28,5.17,62,16.4,0.0,833909.53,12,15871162,8478000,LGA
Arverne,237.1,206.9,25.93,0.86,0.14,0.81,3.71,334,13.35,0.0,624634.43,90,15871162,8478000,LGA
Astoria,112.79,134.68,29.09,0.88,0.12,0.97,4.77,5432,2.63,83957.5,1095671.94,1138,15871162,8478000,LGA
Bath Beach,129.89,220.76,22.28,0.68,0.32,1.39,12.2,610,13.8,29251.5,1063440.57,50,15871162,8478000,LGA
Battery Park City,753.67,101.34,28.58,0.83,0.17,1.22,6.24,549,8.73,0.0,0.0,88,15871162,8478000,LGA
Bay Ridge,104.03,160.91,29.65,0.93,0.07,0.76,2.21,518,12.83,79955.0,1312601.89,234,15871162,8478000,LGA
Bay Terrace,126.33,131.0,23.0,0.75,0.25,0.8,7.75,31,4.76,0.0,702250.23,4,15871162,8478000,LGA
"Bay Terrace, Staten Island",,0.0,2.0,0.0,1.0,0.06,0.0,0,20.49,0.0,0.0,1,15871162,8478000,LGA
Baychester,99.36,186.56,32.06,0.94,0.06,0.79,1.5,27,6.77,0.0,683383.93,18,15871162,8478000,LGA
Bayside,169.39,175.31,27.93,0.91,0.09,0.85,2.62,118,5.57,0.0,1091566.13,45,15871162,8478000,LGA
Bayswater,80.5,180.56,26.5,0.88,0.12,0.96,7.88,126,13.09,0.0,0.0,16,15871162,8478000,LGA
Bedford-Stuyvesant,139.37,160.61,28.64,0.89,0.11,0.9,4.3,11475,7.09,0.0,1478336.29,2669,15871162,8478000,LGA
Belle Harbor,200.0,273.57,21.86,0.71,0.29,1.06,6.57,46,13.78,0.0,1125000.94,7,15871162,8478000,LGA
Bellerose,130.36,201.76,26.59,0.88,0.12,1.24,5.94,202,8.33,24875.5,796898.56,34,15871162,8478000,LGA
Belmont,103.0,192.97,31.1,0.97,0.03,0.56,1.2,72,5.44,26672.5,586626.98,60,15871162,8478000,LGA
Bensonhurst,104.73,195.81,28.19,0.9,0.1,0.81,3.43,199,13.03,0.0,1138595.66,58,15871162,8478000,LGA
Bergen Beach,194.8,254.62,22.94,0.75,0.25,1.04,6.19,99,10.64,0.0,844706.49,16,15871162,8478000,LGA
Boerum Hill,313.12,114.56,30.76,0.88,0.12,0.84,4.53,557,8.56,0.0,3348343.96,123,15871162,8478000,LGA
Borough Park,81.0,125.41,28.27,0.94,0.06,0.53,1.61,206,11.51,103706.0,1619177.92,128,15871162,8478000,LGA
Breezy Point,138.75,365.0,30.0,1.0,0.0,0.69,0.25,1,14.45,0.0,0.0,4,15871162,8478000,LGA
Briarwood,278.87,231.38,27.21,0.9,0.1,0.82,3.15,123,5.59,0.0,806608.72,39,15871162,8478000,LGA
Brighton Beach,119.05,166.14,29.0,0.95,0.05,0.75,4.18,476,14.4,35395.5,736899.65,114,15871162,8478000,LGA
Bronxdale,72.91,159.56,30.0,1.0,0.0,0.57,0.56,20,5.43,34923.5,0.0,36,15871162,8478000,LGA
Brooklyn Heights,292.36,115.96,32.73,0.99,0.01,0.36,0.54,50,8.49,0.0,4855959.17,93,15871162,8478000,LGA
Brownsville,131.82,212.53,23.66,0.73,0.27,1.2,8.15,1402,8.07,58699.5,643394.38,172,15871162,8478000,LGA
Bull's Head,149.38,227.22,20.33,0.67,0.33,1.8,16.11,145,19.06,0.0,0.0,9,15871162,8478000,LGA
Bushwick,125.91,146.24,29.78,0.92,0.08,0.7,3.06,4637,6.11,0.0,1139313.48,1516,15871162,8478000,LGA
Cambria Heights,132.47,205.86,24.31,0.8,0.2,1.21,5.37,698,9.29,19810.5,696995.06,130,15871162,8478000,LGA
Canarsie,176.54,212.09,22.52,0.72,0.28,1.5,8.81,3804,9.64,84375.5,698575.84,432,15871162,8478000,LGA
Carroll Gardens,284.54,96.91,29.6,0.93,0.07,0.69,3.37,509,9.23,0.0,3172991.21,151,15871162,8478000,LGA
Castle Hill,115.0,259.12,54.0,0.38,0.62,4.27,19.62,157,3.06,0.0,664403.68,8,15871162,8478000,LGA
Castleton Corners,125.75,156.33,25.17,0.83,0.17,0.94,5.83,35,17.1,0.0,744241.44,6,15871162,8478000,LGA
Chelsea,293.46,163.83,31.22,0.86,0.14,1.09,6.98,6091,6.86,0.0,2607696.5,873,15871162,8478000,LGA
"Chelsea, Staten Island",70.0,365.0,30.0,1.0,0.0,0.06,1.0,1,20.55,0.0,0.0,1,15871162,8478000,LGA
Chinatown,212.22,153.95,25.23,0.8,0.2,1.37,7.16,4054,7.6,50109.5,0.0,566,15871162,8478000,LGA
City Island,139.0,207.0,25.86,0.86,0.14,0.91,5.5,77,6.69,0.0,675766.56,14,15871162,8478000,LGA
Civic Center,284.62,63.24,25.92,0.84,0.16,0.53,1.56,39,8.09,0.0,0.0,25,15871162,8478000,LGA
Claremont Village,114.46,195.61,33.59,0.88,0.12,0.76,3.45,193,4.78,0.0,0.0,56,15871162,8478000,LGA
Clason Point,110.03,240.06,25.36,0.83,0.17,0.71,5.0,180,2.57,0.0,0.0,36,15871162,8478000,LGA
Clifton,117.25,175.0,21.5,0.7,0.3,1.58,13.6,136,15.28,0.0,565055.49,10,15871162,8478000,LGA
Clinton Hill,227.6,125.86,30.61,0.94,0.06,0.62,2.76,1946,7.81,34041.5,2313914.2,704,15871162,8478000,LGA
Co-op City,57.0,266.0,30.0,1.0,0.0,0.3,1.0,7,6.63,0.0,615007.16,7,15871162,8478000,LGA
Cobble Hill,278.41,109.57,31.37,0.93,0.07,0.6,2.2,119,8.84,0.0,4430272.41,54,15871162,8478000,LGA
College Point,139.92,181.79,22.23,0.68,0.32,1.61,10.13,952,1.64,22841.0,891854.08,94,15871162,8478000,LGA
Columbia St,331.2,54.72,28.56,0.94,0.06,0.88,2.44,44,9.25,0.0,0.0,18,15871162,8478000,LGA
Concord,131.75,243.33,85.83,1.0,0.0,0.34,0.83,5,16.36,0.0,0.0,6,15871162,8478000,LGA
Concourse,108.35,196.76,24.03,0.78,0.22,1.45,11.68,432,4.34,0.0,529386.04,37,15871162,8478000,LGA
Concourse Village,114.58,231.56,36.72,0.88,0.12,0.91,1.59,51,4.31,0.0,0.0,32,15871162,8478000,LGA
Coney Island,115.79,255.41,28.95,0.95,0.05,0.8,1.09,24,14.98,0.0,685385.82,22,15871162,8478000,LGA
Corona,100.64,218.39,23.61,0.78,0.22,1.26,5.72,618,2.44,54870.0,883383.05,108,15871162,8478000,LGA
Country Club,107.5,131.75,23.25,0.75,0.25,0.42,0.0,0,5.41,0.0,744340.53,4,15871162,8478000,LGA
Crown Heights,180.37,155.76,30.69,0.88,0.12,0.85,3.74,4425,8.09,0.0,1462757.35,1184,15871162,8478000,LGA
Cypress Hills,108.89,216.16,26.01,0.8,0.2,1.29,7.58,1221,6.56,0.0,0.0,161,15871162,8478000,LGA
DUMBO,288.56,137.1,31.28,0.79,0.21,1.06,7.31,212,7.81,0.0,0.0,29,15871162,8478000,LGA
Ditmars Steinway,106.22,160.2,59.92,0.85,0.15,1.16,5.38,1130,1.95,0.0,0.0,210,15871162,8478000,LGA
Dongan Hills,166.0,246.5,30.0,1.0,0.0,0.14,0.5,2,17.48,0.0,761418.68,4,15871162,8478000,LGA
Douglaston,95.4,231.2,24.2,0.8,0.2,0.91,3.8,19,7.14,0.0,1277566.74,5,15871162,8478000,LGA
Downtown Brooklyn,249.75,135.72,29.11,0.76,0.24,1.07,6.43,482,8.12,0.0,0.0,75,15871162,8478000,LGA
Dyker Heights,110.78,175.2,50.13,0.93,0.07,0.65,4.0,120,12.75,40875.5,1199188.29,30,15871162,8478000,LGA
East Elmhurst,116.98,198.66,25.56,0.82,0.18,1.82,7.6,2750,1.09,22166.5,894974.8,362,15871162,8478000,LGA
East Flatbush,130.5,215.07,27.28,0.84,0.16,1.03,5.22,2636,9.38,0.0,713922.28,505,15871162,8478000,LGA
East Harlem,147.17,147.21,31.17,0.93,0.07,0.68,2.28,1606,3.86,0.0,872471.14,704,15871162,8478000,LGA
East Morrisania,140.5,100.8,27.2,0.9,0.1,0.54,3.3,33,3.96,0.0,0.0,10,15871162,8478000,LGA
East New York,144.1,215.96,25.48,0.79,0.21,1.27,7.29,4462,7.54,87616.5,683701.16,612,15871162,8478000,LGA
East Village,250.11,109.84,31.04,0.95,0.05,0.52,1.83,3834,6.74,42941.0,2045154.06,2098,15871162,8478000,LGA
Eastchester,137.0,339.2,24.3,0.8,0.2,0.46,1.2,12,7.38,0.0,629255.78,10,15871162,8478000,LGA
Edenwald,75.3,225.61,30.06,0.94,0.06,0.84,1.84,57,7.95,0.0,0.0,31,15871162,8478000,LGA
Edgemere,150.77,289.47,24.47,0.8,0.2,0.56,5.13,77,13.54,0.0,0.0,15,15871162,8478000,LGA
Elmhurst,74.89,77.21,29.5,0.97,0.03,0.59,1.18,680,2.62,88199.5,916749.25,574,15871162,8478000,LGA
Eltingville,102.0,133.0,11.33,0.33,0.67,1.17,8.67,26,21.94,0.0,739650.25,3,15871162,8478000,LGA
Emerson Hill,171.4,177.25,27.12,0.88,0.12,0.32,0.25,2,17.82,0.0,906141.24,8,15871162,8478000,LGA
Far Rockaway,151.71,259.1,29.53,0.98,0.02,0.43,0.54,32,13.81,0.0,747505.89,59,15871162,8478000,LGA
Fieldston,204.75,269.78,30.0,1.0,0.0,0.54,0.78,7,8.06,0.0,0.0,9,15871162,8478000,LGA
Financial District,331.46,141.16,22.57,0.62,0.38,1.66,6.46,3902,8.55,0.0,1065052.55,604,15871162,8478000,LGA
Flatbush,149.62,154.0,28.73,0.89,0.11,0.72,3.27,3080,10.15,108339.5,937652.15,942,15871162,8478000,LGA
Flatiron District,415.02,198.87,22.87,0.75,0.25,1.54,13.13,1011,6.51,0.0,1745571.6,77,15871162,8478000,LGA
Flatlands,146.18,215.21,26.14,0.83,0.17,1.1,4.5,928,10.91,65744.0,696120.5,206,15871162,8478000,LGA
Flushing,106.45,157.71,30.04,0.85,0.15,1.12,6.21,5598,3.27,70685.0,1076601.56,902,15871162,8478000,LGA
Fordham,87.3,165.26,29.41,0.98,0.02,0.42,1.22,56,5.99,0.0,513471.19,46,15871162,8478000,LGA
Forest Hills,135.23,149.82,37.91,0.91,0.09,0.83,4.17,858,4.09,84387.0,1182155.7,206,15871162,8478000,LGA
Fort Greene,181.32,114.2,29.56,0.94,0.06,0.52,2.12,1198,7.99,27207.0,2495976.44,564,15871162,8478000,LGA
Fort Hamilton,106.47,218.75,12.33,0.35,0.65,3.1,20.13,1872,13.74,0.0,0.0,93,15871162,8478000,LGA
Fort Wadsworth,600.0,365.0,30.0,1.0,0.0,,0.0,0,16.03,0.0,0.0,1,15871162,8478000,LGA
Fresh Meadows,117.27,188.11,24.46,0.8,0.2,0.76,5.03,176,5.21,0.0,1061412.1,35,15871162,8478000,LGA
Gerritsen Beach,233.5,176.0,16.0,0.5,0.5,2.97,14.0,28,13.14,0.0,655364.13,2,15871162,8478000,LGA
Glendale,117.75,240.61,28.43,0.93,0.07,0.79,1.51,208,5.22,31783.5,826751.46,138,15871162,8478000,LGA
Gowanus,236.49,139.09,27.45,0.87,0.13,1.07,8.51,1166,9.25,0.0,1710213.78,137,15871162,8478000,LGA
Gramercy,268.41,137.13,27.49,0.89,0.11,0.75,4.22,2220,6.48,27086.0,3004725.37,526,15871162,8478000,LGA
Graniteville,97.8,307.0,36.4,0.8,0.2,2.3,4.8,24,18.33,0.0,678074.63,5,15871162,8478000,LGA
Grant City,85.67,138.06,41.78,0.94,0.06,0.24,1.56,28,18.46,0.0,729974.38,18,15871162,8478000,LGA
Gravesend,120.32,156.95,29.61,0.95,0.05,0.7,1.54,188,13.49,29346.5,1364163.12,122,15871162,8478000,LGA
Great Kills,91.6,200.83,25.17,0.83,0.17,0.98,4.33,52,21.42,41200.0,716689.91,12,15871162,8478000,LGA
Greenpoint,279.01,110.47,29.04,0.88,0.12,0.43,1.87,2336,5.29,36270.0,1991062.09,1252,15871162,8478000,LGA
Greenwich Village,408.76,99.78,46.85,0.94,0.06,0.3,1.17,239,7.22,0.0,5120955.65,205,15871162,8478000,LGA
Grymes Hill,242.0,199.2,95.8,1.0,0.0,1.17,0.8,4,15.96,0.0,901858.8,5,15871162,8478000,LGA
Harlem,159.83,150.35,29.18,0.88,0.12,0.77,3.55,6128,4.72,0.0,1310644.25,1725,15871162,8478000,LGA
Hell's Kitchen,240.22,181.27,28.29,0.84,0.16,0.83,4.02,6255,6.3,0.0,1105007.95,1556,15871162,8478000,LGA
Highbridge,70.19,109.84,29.2,0.92,0.08,0.61,2.56,128,4.94,35785.5,499422.63,50,15871162,8478000,LGA
Hollis,86.83,166.1,25.75,0.85,0.15,1.02,5.5,220,7.34,20508.0,764951.15,40,15871162,8478000,LGA
Holliswood,289.5,151.0,30.0,1.0,0.0,0.06,0.0,0,6.61,0.0,0.0,3,15871162,8478000,LGA
Howard Beach,154.82,238.79,43.06,0.79,0.21,1.31,4.74,161,8.11,0.0,863607.21,34,15871162,8478000,LGA
Howland Hook,136.5,272.5,30.0,1.0,0.0,0.22,0.0,0,18.71,0.0,0.0,2,15871162,8478000,LGA
Huguenot,109.0,335.0,15.5,0.5,0.5,2.69,9.5,19,22.45,0.0,729341.64,2,15871162,8478000,LGA
Hunts Point,67.44,142.39,28.19,0.94,0.06,0.44,3.55,220,2.79,26173.0,0.0,62,15871162,8478000,LGA
Inwood,97.81,88.05,32.79,0.99,0.01,0.47,0.71,126,6.66,0.0,609348.28,178,15871162,8478000,LGA
Jackson Heights,78.5,110.46,30.68,0.93,0.07,0.74,3.12,1254,1.86,110739.5,907102.33,402,15871162,8478000,LGA
Jamaica,122.67,221.12,23.84,0.78,0.22,1.58,9.14,4882,7.79,52800.0,708533.8,534,15871162,8478000,LGA
