PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,MONTH
3130,0,0,OO,SkyWest Airlines Inc.,11973,31973,GPT,"Gulfport/Biloxi, MS",MS,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,10
3130,0,0,OO,SkyWest Airlines Inc.,14457,34457,RAP,"Rapid City, SD",SD,11292,30325,DEN,"Denver, CO",CO,2024,4
3130,2,0,MQ,Envoy Air,14842,34842,SJT,"San Angelo, TX",TX,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,2
3130,103,0,MQ,Envoy Air,12951,32951,LFT,"Lafayette, LA",LA,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,4
3131,0,0,OO,SkyWest Airlines Inc.,13495,33495,MSY,"New Orleans, LA",LA,13930,30977,ORD,"Chicago, IL",IL,2024,8
3131,350,0,MQ,Envoy Air,10747,30747,BRO,"Brownsville, TX",TX,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,12
3132,0,0,C5,CommuteAir LLC dba CommuteAir,13422,30562,MOB,"Mobile, AL",AL,12266,31453,IAH,"Houston, TX",TX,2024,10
3132,0,0,MQ,Envoy Air,11637,31637,FAR,"Fargo, ND",ND,13930,30977,ORD,"Chicago, IL",IL,2024,3
3132,0,0,NK,Spirit Air Lines,14635,31714,RSW,"Fort Myers, FL",FL,10721,30721,BOS,"Boston, MA",MA,2024,5
3132,0,0,OO,SkyWest Airlines Inc.,10620,30620,BIL,"Billings, MT",MT,11292,30325,DEN,"Denver, CO",CO,2024,12
3132,0,0,OO,SkyWest Airlines Inc.,14683,33214,SAT,"San Antonio, TX",TX,12892,32575,LAX,"Los Angeles, CA",CA,2024,4
3132,0,0,UA,United Air Lines Inc.,13931,33667,ORF,"Norfolk, VA",VA,12266,31453,IAH,"Houston, TX",TX,2024,10
3132,82,0,UA,United Air Lines Inc.,13891,32575,ONT,"Ontario, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,3
3133,0,0,9E,Endeavor Air Inc.,10994,30994,CHS,"Charleston, SC",SC,12953,31703,LGA,"New York, NY",NY,2024,1
3133,0,0,NK,Spirit Air Lines,15304,33195,TPA,"Tampa, FL",FL,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,1
3133,115,0,AA,American Airlines Inc.,11540,30615,ELP,"El Paso, TX",TX,13930,30977,ORD,"Chicago, IL",IL,2024,9
3133,212,0,DL,Delta Air Lines Inc.,14635,31714,RSW,"Fort Myers, FL",FL,12478,31703,JFK,"New York, NY",NY,2024,9
3133,2063,0,WN,Southwest Airlines Co.,11042,30647,CLE,"Cleveland, OH",OH,10397,30397,ATL,"Atlanta, GA",GA,2024,6
3134,0,0,OO,SkyWest Airlines Inc.,11109,30189,COS,"Colorado Springs, CO",CO,12266,31453,IAH,"Houston, TX",TX,2024,6
3134,0,0,OO,SkyWest Airlines Inc.,15074,35074,SWO,"Stillwater, OK",OK,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,12
3134,842,352,AS,Alaska Airlines Inc.,14771,32457,SFO,"San Francisco, CA",CA,12892,32575,LAX,"Los Angeles, CA",CA,2024,5
3134,1212,0,OH,PSA Airlines Inc.,15370,34653,TUL,"Tulsa, OK",OK,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,2
3135,0,0,YX,Republic Airline,10693,30693,BNA,"Nashville, TN",TN,12478,31703,JFK,"New York, NY",NY,2024,1
3135,164,0,AS,Alaska Airlines Inc.,14004,34004,PAE,"Everett, WA",WA,12892,32575,LAX,"Los Angeles, CA",CA,2024,9
3135,20896,0,DL,Delta Air Lines Inc.,11193,33105,CVG,"Cincinnati, OH",KY,12892,32575,LAX,"Los Angeles, CA",CA,2024,1
3136,0,0,F9,Frontier Airlines Inc.,11042,30647,CLE,"Cleveland, OH",OH,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,9
3136,0,0,OO,SkyWest Airlines Inc.,10713,30713,BOI,"Boise, ID",ID,13930,30977,ORD,"Chicago, IL",IL,2024,8
3136,4207,0,AS,Alaska Airlines Inc.,14679,33570,SAN,"San Diego, CA",CA,10721,30721,BOS,"Boston, MA",MA,2024,1
3137,0,0,F9,Frontier Airlines Inc.,14057,34057,PDX,"Portland, OR",OR,11292,30325,DEN,"Denver, CO",CO,2024,2
3137,0,0,YX,Republic Airline,14122,30198,PIT,"Pittsburgh, PA",PA,12264,30852,IAD,"Washington, DC",VA,2024,2
3138,0,0,9E,Endeavor Air Inc.,12451,31136,JAX,"Jacksonville, FL",FL,12953,31703,LGA,"New York, NY",NY,2024,2
3138,0,0,AA,American Airlines Inc.,12339,32337,IND,"Indianapolis, IN",IN,13930,30977,ORD,"Chicago, IL",IL,2024,11
3138,0,0,OO,SkyWest Airlines Inc.,13158,33158,MAF,"Midland/Odessa, TX",TX,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,6
3139,0,0,OO,SkyWest Airlines Inc.,15370,34653,TUL,"Tulsa, OK",OK,11292,30325,DEN,"Denver, CO",CO,2024,4
3139,2076,0,UA,United Air Lines Inc.,11042,30647,CLE,"Cleveland, OH",OH,12264,30852,IAD,"Washington, DC",VA,2024,2
3140,0,0,B6,JetBlue Airways,13342,33342,MKE,"Milwaukee, WI",WI,10721,30721,BOS,"Boston, MA",MA,2024,6
3140,0,0,OO,SkyWest Airlines Inc.,14487,33792,RDD,"Redding, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,4
3141,0,0,YX,Republic Airline,15919,31834,XNA,"Fayetteville, AR",AR,12953,31703,LGA,"New York, NY",NY,2024,4
3141,73,0,MQ,Envoy Air,13198,33198,MCI,"Kansas City, MO",MO,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,10
3141,278,0,UA,United Air Lines Inc.,10713,30713,BOI,"Boise, ID",ID,14771,32457,SFO,"San Francisco, CA",CA,2024,7
3141,1020,0,PT,Piedmont Airlines,13230,32070,MDT,"Harrisburg, PA",PA,13930,30977,ORD,"Chicago, IL",IL,2024,11
3142,0,0,MQ,Envoy Air,12339,32337,IND,"Indianapolis, IN",IN,13930,30977,ORD,"Chicago, IL",IL,2024,10
3142,0,0,SY,Sun Country Airlines d/b/a MN Airlines,13487,31650,MSP,"Minneapolis, MN",MN,11292,30325,DEN,"Denver, CO",CO,2024,2
3143,0,0,9E,Endeavor Air Inc.,14122,30198,PIT,"Pittsburgh, PA",PA,12953,31703,LGA,"New York, NY",NY,2024,6
3143,0,0,C5,CommuteAir LLC dba CommuteAir,12896,32896,LBB,"Lubbock, TX",TX,12266,31453,IAH,"Houston, TX",TX,2024,1
3143,0,0,MQ,Envoy Air,11995,31995,GSO,"Greensboro/High Point, NC",NC,13930,30977,ORD,"Chicago, IL",IL,2024,8
3143,0,0,OO,SkyWest Airlines Inc.,11921,31921,GJT,"Grand Junction, CO",CO,11292,30325,DEN,"Denver, CO",CO,2024,3
3143,87,0,DL,Delta Air Lines Inc.,12451,31136,JAX,"Jacksonville, FL",FL,12478,31703,JFK,"New York, NY",NY,2024,12
3143,3522,0,WN,Southwest Airlines Co.,14730,33044,SDF,"Louisville, KY",KY,11292,30325,DEN,"Denver, CO",CO,2024,11
3144,0,0,DL,Delta Air Lines Inc.,10423,30423,AUS,"Austin, TX",TX,13204,31454,MCO,"Orlando, FL",FL,2024,10
3144,0,0,OO,SkyWest Airlines Inc.,13476,34922,MRY,"Monterey, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,9
3144,0,0,YX,Republic Airline,12451,31136,JAX,"Jacksonville, FL",FL,10721,30721,BOS,"Boston, MA",MA,2024,12
3144,0,0,ZW,Air Wisconsin Airlines Corp,11267,31267,DAY,"Dayton, OH",OH,13930,30977,ORD,"Chicago, IL",IL,2024,2
3144,1,0,DL,Delta Air Lines Inc.,14574,34574,ROA,"Roanoke, VA",VA,10397,30397,ATL,"Atlanta, GA",GA,2024,1
